,support,itemsets
0,0.022624836929845463,frozenset({17790})
1,0.020980293473398956,frozenset({28979})
2,0.006034451116902249,frozenset({33114})
3,0.0019593302879055293,frozenset({9323})
4,0.0007539953354314975,frozenset({1818})
5,0.00036984342154622546,frozenset({40133})
6,0.00023142431087501408,frozenset({45909})
7,0.07525053859031489,frozenset({21899})
8,0.01620187914051997,frozenset({46656})
9,0.015418644712047814,frozenset({24834})
10,0.009298342641111285,frozenset({33748})
11,0.005230687112465372,frozenset({17457})
12,0.001544072955891895,frozenset({32659})
13,0.0007340878678293457,frozenset({17700})
14,0.0006563243225084404,frozenset({17664})
15,0.00775084808922527,frozenset({25142})
16,0.0027683822134242273,frozenset({46831})
17,0.002295890912054407,frozenset({17612})
18,0.0020097210652734758,frozenset({41268})
19,0.00138730164852495,frozenset({34856})
20,0.0007319104885603604,frozenset({21347})
21,0.0007306662718352259,frozenset({39750})
22,0.000691162390812206,frozenset({40277})
23,0.000677164952654443,frozenset({27755})
24,0.0003822855887975703,frozenset({10050})
25,0.0003234963485349659,frozenset({32639})
26,0.00023577906941298478,frozenset({22594})
27,0.11802950908807001,frozenset({13172})
28,0.06643619625528092,frozenset({47198})
29,0.04263215292418925,frozenset({27960})
30,0.011537310637990789,frozenset({23905})
31,0.009593844113330724,frozenset({6181})
32,0.004783080145598241,frozenset({6345})
33,0.0024787907706491762,frozenset({46512})
34,0.0023217084091009476,frozenset({8475})
35,0.0020442480793959575,frozenset({27355})
36,0.002033050128869747,frozenset({37004})
37,0.0014087643870335199,frozenset({38685})
38,0.0012236871491697653,frozenset({48359})
39,0.0011393914660419039,frozenset({12958})
40,0.0009717332623300322,frozenset({13241})
41,0.0008081187629748475,frozenset({40870})
42,0.0006171314956667042,frozenset({45689})
43,0.0004895992813404196,frozenset({48814})
44,0.0004606712424810428,frozenset({47318})
45,0.00026532921663492877,frozenset({48355})
46,0.00020311838037820456,frozenset({41168})
47,0.007760801823026345,frozenset({46791})
48,0.005283877377464871,frozenset({34044})
49,0.0007511958477999449,frozenset({23419})
50,0.015632027880408378,frozenset({31500})
51,0.009622461098008819,frozenset({431})
52,0.00904203399573358,frozenset({14988})
53,0.008468761139627867,frozenset({21401})
54,0.007194372158908871,frozenset({11178})
55,0.007156112494610986,frozenset({18358})
56,0.00493674091115235,frozenset({23284})
57,0.002335394793077427,frozenset({3987})
58,0.0019549755293675583,frozenset({47879})
59,0.001123838756977723,frozenset({44524})
60,0.0008690853825064372,frozenset({14179})
61,0.0007866560244662777,frozenset({2013})
62,0.00028057087151782623,frozenset({29187})
63,0.00024884334502689687,frozenset({34197})
64,0.1469933191782944,frozenset({24848})
65,0.08233075386469267,frozenset({21133})
66,0.05499904506366346,frozenset({47755})
67,0.023752097282817304,frozenset({49224})
68,0.022758901281978702,frozenset({4602})
69,0.021625730899562472,frozenset({31711})
70,0.011820369942958884,frozenset({27151})
71,0.0037752645982393087,frozenset({3463})
72,0.0027173693276937136,frozenset({1528})
73,0.0024993203466138953,frozenset({34128})
74,0.0017639882620594152,frozenset({4793})
75,0.0009540031739968658,frozenset({26837})
