,support,itemsets
4,0.0007539953354314,frozenset({1818})
5,0.0003698434215462,frozenset({40133})
6,0.000231424310875,frozenset({45909})
13,0.0007340878678293,frozenset({17700})
14,0.0006563243225084,frozenset({17664})
22,0.0006911623908122,frozenset({40277})
23,0.0006771649526544,frozenset({27755})
24,0.0003822855887975,frozenset({10050})
25,0.0003234963485349,frozenset({32639})
26,0.0002357790694129,frozenset({22594})
40,0.00097173326233,frozenset({13241})
42,0.0006171314956667,frozenset({45689})
43,0.0004895992813404,frozenset({48814})
44,0.000460671242481,frozenset({47318})
45,0.0002653292166349,frozenset({48355})
46,0.0002031183803782,frozenset({41168})
49,0.0007511958477999,frozenset({23419})
62,0.0002805708715178,frozenset({29187})
63,0.0002488433450268,frozenset({34197})
76,0.0002258253356119,frozenset({22118})
78,0.0007297331092913,frozenset({1312})
79,0.0005287921081821,frozenset({30156})
83,0.000930052002038,frozenset({30591})
84,0.0005191494285623,frozenset({15217})
85,0.0005175941576559,frozenset({37878})
86,0.0003076325852895,frozenset({29465})
87,0.0002603523497343,frozenset({38042})
92,0.0012131113070061,frozenset({25947})
93,0.0010168361186161,frozenset({3797})
94,0.0008625532446994,frozenset({25778})
95,0.0005997124615148,frozenset({23016})
96,0.0003869514015168,frozenset({35413})
97,0.0003035888809328,frozenset({27402})
98,0.0002180489810798,frozenset({44626})
106,0.000791943945548,frozenset({20388})
107,0.0006277073378303,frozenset({8571})
108,0.0006062445993217,frozenset({41882})
109,0.0002463549115766,frozenset({10092})
113,0.0006249078501987,frozenset({32457})
114,0.0005306584332698,frozenset({2995})
136,0.0008118514131502,frozenset({999})
137,0.0006995608537068,frozenset({7304})
139,0.0003259847819852,frozenset({1056})
145,0.0005950466487955,frozenset({35424})
146,0.0002983009598509,frozenset({47474})
147,0.0002360901235942,frozenset({5109})
150,0.0002930130387691,frozenset({33100})
151,0.0002899024969563,frozenset({31472})
161,0.0007004940162507,frozenset({21406})
162,0.0004852445228024,frozenset({22750})
170,0.0008109182506064,frozenset({12032})
171,0.0005564759303163,frozenset({8377})
172,0.0004245889574521,frozenset({44944})
173,0.0003178973732718,frozenset({13493})
176,0.0006046893284153,frozenset({9061})
180,0.0010544736745514,frozenset({6380})
181,0.0009484041987337,frozenset({31481})
182,0.000708581424964,frozenset({37442})
183,0.000675609681748,frozenset({15921})
184,0.0005732728561057,frozenset({22101})
185,0.0004728023555511,frozenset({14572})
186,0.0003838408597039,frozenset({30314})
207,0.0010414093989375,frozenset({10239})
210,0.0006217973083859,frozenset({38218})
211,0.0005007972318666,frozenset({8650})
212,0.0003620670670141,frozenset({20634})
213,0.0002923909304066,frozenset({15523})
240,0.0003965940811366,frozenset({9432})
241,0.0003234963485349,frozenset({49145})
249,0.0010218129855166,frozenset({5696})
251,0.000368599204821,frozenset({1445})
252,0.0003079436394707,frozenset({8588})
255,0.0008625532446994,frozenset({16970})
256,0.0002329795817814,frozenset({24528})
257,0.0002031183803782,frozenset({37972})
259,0.0004821339809896,frozenset({43713})
262,0.0003906840516922,frozenset({8381})
265,0.0002696839751728,frozenset({34860})
267,0.000890548121015,frozenset({27350})
269,0.0010494968076509,frozenset({19883})
272,0.0004762239515452,frozenset({21945})
273,0.0002311132566937,frozenset({20911})
274,0.0002261363897931,frozenset({37859})
277,0.0010401651822124,frozenset({27351})
278,0.000525370512188,frozenset({2239})
284,0.0005642522848484,frozenset({41594})
285,0.0004270773909024,frozenset({4444})
286,0.0003950388102301,frozenset({11979})
287,0.0003462033037686,frozenset({22278})
288,0.0003210079150846,frozenset({34513})
289,0.0002239590105242,frozenset({21063})
299,0.0011008207475627,frozenset({6138})
301,0.0015988184917978,frozenset({39268})
307,0.00076332696087,frozenset({275})
308,0.0002143163309044,frozenset({37780})
311,0.0007020492871571,frozenset({3593})
312,0.0006441932094383,frozenset({4490})
313,0.0002625297290033,frozenset({30268})
324,0.0005658075557549,frozenset({46184})
325,0.000329095323798,frozenset({32436})
326,0.0007415531681801,frozenset({11117})
327,0.0004096583567505,frozenset({32965})
328,0.0002379564486819,frozenset({33998})
341,0.000654769051602,frozenset({24381})
342,0.0004805787100831,frozenset({8247})
347,0.000742486330724,frozenset({21906})
351,0.0004631596759313,frozenset({47220})
365,0.000558342255404,frozenset({17119})
370,0.0014165407415656,frozenset({15537})
373,0.0006787202235608,frozenset({22503})
383,0.0006015787866025,frozenset({41666})
384,0.0005776276146436,frozenset({25881})
385,0.0003987714604056,frozenset({34634})
386,0.0003710876382713,frozenset({34848})
388,0.0009085892635294,frozenset({9288})
389,0.0005542985510474,frozenset({18984})
391,0.0007088924791453,frozenset({25166})
392,0.00046284862175,frozenset({19151})
396,0.0009381394107514,frozenset({45359})
402,0.000623041525111,frozenset({25665})
403,0.0003819745346162,frozenset({27508})
407,0.000738131572186,frozenset({43730})
408,0.0005875813484447,frozenset({17920})
413,0.0004684475970131,frozenset({42337})
414,0.0004519617254051,frozenset({23056})
415,0.0004463627501419,frozenset({36335})
416,0.0004018820022184,frozenset({8182})
417,0.0003178973732718,frozenset({47038})
421,0.0002737276795295,frozenset({11063})
428,0.0008858823082957,frozenset({20584})
429,0.0006423268843506,frozenset({47468})
431,0.0009064118842604,frozenset({24121})
440,0.0006591238101399,frozenset({14536})
447,0.0002569307537402,frozenset({10911})
448,0.0002351569610504,frozenset({25191})
452,0.0005353242459891,frozenset({33351})
467,0.0002678176500851,frozenset({18075})
471,0.0007269336216598,frozenset({12895})
474,0.0003113652354649,frozenset({13623})
475,0.0002469770199391,frozenset({39453})
476,0.0002046736512846,frozenset({13106})
477,0.0002037404887407,frozenset({11252})
480,0.0002404448821322,frozenset({42110})
486,0.0002152494934482,frozenset({46384})
491,0.0002892803885937,frozenset({39461})
496,0.0007452858183555,frozenset({10056})
497,0.0005592754179479,frozenset({2123})
498,0.0005340800292639,frozenset({40579})
499,0.0004973756358725,frozenset({37927})
500,0.0004737355180949,frozenset({11570})
504,0.001069404275253,frozenset({11189})
505,0.0007555506063379,frozenset({34417})
506,0.0006012677324212,frozenset({42292})
507,0.0004118357360195,frozenset({34059})
510,0.000558342255404,frozenset({34057})
511,0.0002239590105242,frozenset({21345})
512,0.0002003188927466,frozenset({20213})
516,0.0004787123849954,frozenset({23111})
517,0.0002923909304066,frozenset({37627})
522,0.0007306662718352,frozenset({2706})
523,0.0005129283449366,frozenset({46870})
524,0.0002373343403194,frozenset({38762})
536,0.0003654886630082,frozenset({26247})
537,0.000677787061017,frozenset({20596})
543,0.0006578795934148,frozenset({5822})
544,0.0004255221199959,frozenset({48773})
553,0.0011372140867729,frozenset({25226})
554,0.0006762317901105,frozenset({1373})
555,0.0003633112837392,frozenset({48374})
556,0.0002979899056697,frozenset({1391})
557,0.0002410669904948,frozenset({35698})
561,0.0008438899938224,frozenset({4963})
562,0.0008084298171561,frozenset({33665})
563,0.0007508847936186,frozenset({47215})
565,0.0004986198525976,frozenset({42669})
566,0.0003633112837392,frozenset({39612})
567,0.0003032778267515,frozenset({28448})
576,0.0007683038277705,frozenset({10117})
577,0.0003779308302595,frozenset({10845})
578,0.000349935953944,frozenset({37623})
579,0.0003066994227456,frozenset({48453})
580,0.0003026557183889,frozenset({20375})
589,0.0007527511187063,frozenset({33178})
590,0.000564874393211,frozenset({37453})
591,0.0005592754179479,frozenset({28509})
592,0.0004951982566035,frozenset({4363})
593,0.0004653370552002,frozenset({33433})
594,0.0004270773909024,frozenset({2274})
595,0.000314786831459,frozenset({41965})
600,0.0006538358890581,frozenset({12153})
604,0.0010264787982359,frozenset({9134})
605,0.0004824450351708,frozenset({44917})
606,0.0002942572554943,frozenset({3560})
612,0.0006588127559587,frozenset({44616})
613,0.0006217973083859,frozenset({26405})
614,0.0004438743166917,frozenset({37455})
617,0.000842334722916,frozenset({40378})
631,0.0010930443930306,frozenset({22616})
632,0.0005994014073335,frozenset({34086})
633,0.0005017303944104,frozenset({30952})
634,0.0004370311247034,frozenset({19832})
635,0.0002762161129798,frozenset({12941})
636,0.0002681287042664,frozenset({46157})
637,0.0002482212366643,frozenset({23007})
638,0.0002236479563429,frozenset({49494})
639,0.000222714793799,frozenset({38811})
643,0.0004808897642644,frozenset({11509})
644,0.0004743576264575,frozenset({47772})
647,0.0005468332506966,frozenset({14868})
648,0.0004093473025692,frozenset({42375})
649,0.0003670439339146,frozenset({42067})
650,0.0003107431271023,frozenset({13704})
655,0.0008827717664829,frozenset({31549})
656,0.0008348694225652,frozenset({8191})
657,0.0006473037512512,frozenset({19072})
658,0.0005291031623634,frozenset({35865})
660,0.0002559975911964,frozenset({26211})
662,0.0003922393225986,frozenset({15425})
665,0.0006314399880057,frozenset({27166})
671,0.0003421595994119,frozenset({1687})
673,0.0007054708831512,frozenset({23951})
674,0.0005841597524506,frozenset({22916})
675,0.0003278511070729,frozenset({34997})
683,0.0003113652354649,frozenset({31654})
691,0.0008833938748454,frozenset({18904})
692,0.0004737355180949,frozenset({17202})
696,0.0007714143695833,frozenset({1502})
697,0.0005598975263105,frozenset({42826})
698,0.0003266068903478,frozenset({46692})
699,0.0002942572554943,frozenset({26684})
700,0.000201874163653,frozenset({39029})
702,0.0006538358890581,frozenset({38571})
703,0.0006180646582105,frozenset({48521})
712,0.0008233604178577,frozenset({48235})
713,0.0004905324438842,frozenset({6689})
714,0.0004118357360195,frozenset({16821})
715,0.0003776197760783,frozenset({46812})
716,0.0010118592517156,frozenset({4850})
717,0.0008958360420968,frozenset({28984})
718,0.0005729618019244,frozenset({26693})
719,0.0003863292931542,frozenset({28521})
733,0.0008809054413952,frozenset({2001})
734,0.0006840081446426,frozenset({43241})
737,0.0007309773260165,frozenset({14646})
744,0.0005791828855501,frozenset({4310})
745,0.0002224037396177,frozenset({23545})
750,0.0006451263719822,frozenset({18766})
754,0.0011502783623868,frozenset({26629})
755,0.0004911545522468,frozenset({33448})
756,0.0004516506712238,frozenset({43330})
757,0.0003552238750258,frozenset({31067})
758,0.0002255142814306,frozenset({38987})
759,0.0002059178680097,frozenset({17467})
764,0.000777635453209,frozenset({12492})
765,0.0005213268078313,frozenset({18372})
770,0.0005931803237078,frozenset({29500})
771,0.0005350131918078,frozenset({20865})
772,0.0004712470846446,frozenset({28820})
773,0.0004068588691189,frozenset({4541})
774,0.0002093394640038,frozenset({26932})
778,0.0007975429208112,frozenset({36633})
779,0.0006264631211052,frozenset({17826})
780,0.0003490027914002,frozenset({11443})
781,0.0003300284863419,frozenset({39863})
782,0.0002130721141792,frozenset({33150})
794,0.0005869592400821,frozenset({48412})
795,0.0005838486982693,frozenset({168})
796,0.0004009488396745,frozenset({41962})
800,0.0005897587277137,frozenset({31772})
801,0.0003888177266045,frozenset({16896})
802,0.0002979899056697,frozenset({45942})
808,0.0004438743166917,frozenset({28426})
816,0.0006479258596137,frozenset({7894})
822,0.0011300598406033,frozenset({42964})
824,0.0004143241694697,frozenset({6988})
825,0.0002855477384183,frozenset({13637})
826,0.0002420001530386,frozenset({43608})
829,0.0005104399114864,frozenset({32632})
830,0.0003844629680665,frozenset({46212})
831,0.0002009410011092,frozenset({20265})
839,0.0009446715485583,frozenset({276})
841,0.0006283294461929,frozenset({34061})
842,0.0006133988454913,frozenset({42344})
843,0.0005589643637666,frozenset({46833})
845,0.0005319026499949,frozenset({29523})
846,0.0003079436394707,frozenset({37604})
847,0.0002183600352611,frozenset({18494})
855,0.000715113562771,frozenset({19444})
862,0.0011773400761585,frozenset({12074})
863,0.001090244905399,frozenset({30585})
869,0.0006121546287661,frozenset({5602})
876,0.0005362574085329,frozenset({26601})
877,0.0002637739457285,frozenset({34714})
879,0.0005474553590591,frozenset({2389})
882,0.0008373578560155,frozenset({14123})
885,0.0003922393225986,frozenset({26147})
886,0.000337804840874,frozenset({30480})
888,0.0006009566782399,frozenset({40961})
889,0.0002531981035648,frozenset({4554})
895,0.000497997744235,frozenset({40624})
896,0.0002703060835354,frozenset({25242})
899,0.000629573662918,frozenset({17615})
906,0.0002255142814306,frozenset({3493})
907,0.0009627126910728,frozenset({37015})
908,0.0006102883036784,frozenset({16383})
909,0.0003726429091777,frozenset({15708})
914,0.0011726742634392,frozenset({17330})
915,0.0008367357476529,frozenset({32135})
916,0.0005312805416324,frozenset({14460})
917,0.0003614449586515,frozenset({48789})
918,0.0002345348526878,frozenset({34041})
922,0.0005511880092345,frozenset({32953})
923,0.0002220926854365,frozenset({17556})
932,0.0007004940162507,frozenset({35709})
933,0.0002755940046172,frozenset({26296})
938,0.0003051441518392,frozenset({34333})
942,0.0008597537570679,frozenset({41828})
943,0.0002637739457285,frozenset({19732})
946,0.0003804192637098,frozenset({25016})
947,0.0002074731389161,frozenset({25975})
948,0.0006771649526544,frozenset({48215})
